路線方向,路段,交流道,進出口,週六,週日,週2-4
國2西向路段,大竹交流道-大園交流道,非匝道資料,非匝道資料,49189,47831,59198
國2西向路段,大園交流道-機場端,非匝道資料,非匝道資料,35281,36090,44622
國4西向路段,豐原端-后豐交流道,非匝道資料,非匝道資料,13916,16231,13060
國4西向路段,后豐交流道-台中系統,非匝道資料,非匝道資料,23706,25496,24628
國4西向路段,台中系統-神岡交流道,非匝道資料,非匝道資料,26111,26681,26140
國4西向路段,神岡交流道-中港系統,非匝道資料,非匝道資料,24678,25389,24255
國4西向路段,中港系統-清水端,非匝道資料,非匝道資料,16252,15555,16030
國6西向路段,埔里端-埔里交流道,非匝道資料,非匝道資料,3321,5192,2769
國6西向路段,埔里交流道-愛蘭交流道,非匝道資料,非匝道資料,7584,11240,6404
國6西向路段,愛蘭交流道-北山交流道,非匝道資料,非匝道資料,17238,24799,14160
國6西向路段,北山交流道-國姓交流道,非匝道資料,非匝道資料,17695,25004,13937
國6西向路段,國姓交流道-東草屯交流道,非匝道資料,非匝道資料,19000,25406,13867
國6西向路段,東草屯-舊正,非匝道資料,非匝道資料,18789,26900,14822
國6西向路段,舊正-霧峰系統,非匝道資料,非匝道資料,16034,23679,14323
國8西向路段,新化端-新化系統,非匝道資料,非匝道資料,8402,8463,8319
國8西向路段,新化系統-新市交流道,非匝道資料,非匝道資料,14595,18721,12119
國8西向路段,新市交流道-台南系統,非匝道資料,非匝道資料,22646,24815,22327
國8西向路段,台南系統-新吉交流道,非匝道資料,非匝道資料,21661,22844,21256
國8西向路段,新吉交流道-台南端,非匝道資料,非匝道資料,9570,10656,9411
國10西向路段,旗山端-嶺口交流道,非匝道資料,非匝道資料,16108,18029,11030
國10西向路段,嶺口交流道-燕巢系統,非匝道資料,非匝道資料,25141,23871,16365
國10西向路段,燕巢系統-燕巢交流道,非匝道資料,非匝道資料,41196,43911,31148
國10西向路段,燕巢交流道-仁武交流道,非匝道資料,非匝道資料,38374,37719,27791
國10西向路段,仁武交流道-鼎金系統,非匝道資料,非匝道資料,41576,45079,40154
國10西向路段,鼎金系統-左營端,非匝道資料,非匝道資料,32678,40053,38821
國1高架北向路段,楊梅端-中壢轉接道,非匝道資料,非匝道資料,37012,41989,30389
國1高架北向路段,中壢轉接道-機場系統,非匝道資料,非匝道資料,44651,49065,37210
國1高架北向路段,機場系統-泰山轉接道,非匝道資料,非匝道資料,49376,60396,49873
國1高架北向路段,泰山轉接道-五股,非匝道資料,非匝道資料,23848,26042,21800
國1高架北向路段,五股-環北,非匝道資料,非匝道資料,75027,74328,75036
國1高架北向路段,環北-下塔悠,非匝道資料,非匝道資料,47193,47306,49014
國1高架北向路段,下塔悠-堤頂,非匝道資料,非匝道資料,41579,41740,41322
國1高架北向路段,堤頂-汐止端,非匝道資料,非匝道資料,36472,36241,32711
